nct_id,nct_type,preparation_method,resolution_pattern,metric_placement,melodic_function,harmonic_impact,typical_duration,dissonance_level,stylistic_period,common_voices,emotional_effect,pedagogical_difficulty,compositional_frequency,beat_strength,voice_leading_category,voice_range_preference,harmonic_rhythm_pattern,metric_accent_preference,chord_context_compatibility,historical_style_examples,voice_register_considerations,melodic_contour_effect,beat_placement_preference,rhythmic_context
11,nota_cambiata,stepwise_preparation,leap_down_step_up,weak_beat_pattern,ornamental_figure,mild_dissonance,dotted_rhythm_pattern,2,renaissance,upper_voices,elegant_ornament,advanced,very_low,weak,stepwise,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,stepwise_group
12,changing_tones,stepwise_opposite_directions,stepwise_returns,weak_beats,double_embellishment,mild_dissonances,eighth_note_pairs,2,classical_onward,any_voices,decorative_pair,intermediate,medium,weak,stepwise,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,pair_ornament
13,double_neighbor,step_up_step_down,return_to_origin,weak_beat_group,extended_embellishment,mild_dissonances,quarter_note_group,2,classical_romantic,melodic_lines,elaborate_decoration,intermediate,low,weak,other,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,ornamental_group
14,pedal_point,sustained_note,no_resolution,any_placement,harmonic_anchor,variable_strong,whole_notes_longer,3,baroque_onward,bass_voice,stability_tension,intermediate,medium,weak,other,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,sustained,harmonic_anchor
15,inverted_pedal,sustained_note_upper,no_resolution,any_placement,upper_harmonic_anchor,moderate_dissonance,whole_notes_longer,3,romantic_modern,soprano_voice,floating_tension,advanced,low,weak,other,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,flexible
16,internal_pedal,sustained_middle_voice,no_resolution,any_placement,inner_harmonic_anchor,mild_to_strong,whole_notes_longer,3,classical_onward,inner_voices,subtle_stability,advanced,low,weak,other,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,flexible
17,accented_passing_tone,stepwise_approach,stepwise_same_direction,strong_beat,emphasized_connection,moderate_dissonance,quarter_note,3,romantic_modern,melodic_lines,bold_movement,intermediate,medium,strong,stepwise,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,strong_beat,rhythmic_emphasis
18,chromatic_passing_tone,chromatic_step,stepwise_continuation,weak_beat,chromatic_connection,mild_dissonance,eighth_note,2,classical_onward,any_voice,smooth_chromatic_flow,intermediate,high,weak,other,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,off_beat,chromatic_motion
19,diatonic_passing_tone,diatonic_step,stepwise_continuation,weak_beat,diatonic_connection,mild_dissonance,eighth_note,2,all_periods,any_voice,natural_flow,beginner,very_high,weak,other,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,flexible
20,incomplete_neighbor,leap_approach,stepwise_return,weak_beat,partial_embellishment,mild_dissonance,eighth_to_quarter,2,classical_onward,any_voice,surprise_return,intermediate,medium,weak,leap,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,partial_ornament
21,appoggiatura_group,leap_preparation,stepwise_resolutions,strong_beat_group,multiple_tensions,very_strong_dissonance,half_note_group,5,romantic_modern,melodic_lines,intense_emotion,advanced,low,strong,leap,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,flexible
22,suspension_chain,tied_preparations,stepwise_down_sequence,strong_beat_sequence,sequential_tension,strong_dissonances,half_note_sequence,4,baroque,upper_voices,cascading_tension,advanced,medium,strong,other,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,strong_beat,continuous_tension
23,retardation_chain,tied_preparations,stepwise_up_sequence,strong_beat_sequence,upward_sequential_tension,strong_dissonances,half_note_sequence,4,baroque,bass_sequences,lifting_sequence,advanced,low,strong,other,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,flexible
24,free_tone,various_approaches,various_resolutions,any_placement,harmonic_color,variable_impact,variable_duration,3,modern_atonal,any_voice,expressive_freedom,advanced,medium,weak,other,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,any_beat,melodic_freedom
25,auxiliary_tone,stepwise_approach,stepwise_return,weak_beat,melodic_decoration,mild_dissonance,eighth_note,2,all_periods,any_voice,gentle_ornament,beginner,high,weak,stepwise,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,weak_beat,neighbor_variant
26,grace_note,no_preparation,immediate_resolution,any_beat,melodic_ornament,brief_dissonance,very_short,1,baroque_onward,melodic_lines,decorative_sparkle,beginner,medium,weak,other,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,before_beat,ornamental_approach
27,mordent,stepwise_alternation,return_to_main,ornamental_timing,rapid_decoration,rapid_dissonances,very_short_alternation,2,baroque_classical,melodic_lines,brilliant_ornament,intermediate,low,weak,stepwise,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,ornamental,quick_alternation
28,turn,stepwise_circle_pattern,return_to_main,ornamental_timing,circular_decoration,brief_dissonances,short_pattern,2,baroque_classical,melodic_lines,elaborate_flourish,intermediate,low,weak,stepwise,any_register,subdivision_beats,weak_beats_preferred,various_contexts,classical_examples,effective_middle_register,varies_by_context,ornamental,decorative_group
