technique_name,harmonic_structure,sonic_characteristic,compositional_function,voice_leading_approach,resolution_behavior,key_composers_examples,stylistic_period,practical_applications,theoretical_basis,emotional_effect,difficulty_level,common_contexts,chord_symbols,interval_analysis,frequency_analysis,beat_frequency_implications,harmonic_series_position
Neo Riemannian Operations,chromatic_voice_leading_transformations,smooth_chromatic_harmonic_motion,efficient_chromatic_modulation,parsimonious_voice_leading,cyclic_harmonic_progressions,late_Romantic_film_composers,late_romantic_contemporary_theory,film_harmonic_analysis_composition,chromatic_transformation_theory,smooth_cinematic_sophisticated,very_advanced,film_analysis_contemporary_classical,,,,,
Altered Dominants,chromatically_altered_dominant_chords,enhanced_tension_color,intensifies_dominant_function,chromatic_approach_to_resolution,strong_resolution_tendency_to_tonic,jazz_composers_Wagner_Chopin,late_romantic_jazz,jazz_classical_popular_music,chromatic_alteration_of_function,passionate_intense_sophisticated,intermediate_advanced,jazz_standards_classical_popular,,,,,
Parallel Harmony,voices_moving_in_parallel_motion,consistent_intervallic_relationships,creates_harmonic_streams,all_voices_parallel_motion,block_chord_movement,Debussy_Ravel_impressionists,impressionist,impressionist_film_contemporary,abandonment_of_contrary_motion_rules,flowing_liquid_impressionistic,intermediate,impressionist_pieces_film_textures,,,,,
Planing,parallel_chord_structures,uniform_harmonic_motion,creates_harmonic_glissando_effect,parallel_chord_motion,directional_harmonic_movement,Debussy_twentieth_century_composers,impressionist_modern,film_contemporary_classical,parallel_chord_stream_theory,gliding_smooth_cinematic,intermediate,film_underscoring_contemporary_textures,,,,,
Secundal Harmony,chords_built_from_seconds,clustered_dissonant_harmony,creates_dense_harmonic_texture,stepwise_voice_leading,expansion_to_wider_intervals,twentieth_century_modernists,20th_century,contemporary_classical_avant_garde,interval_of_second_as_basis,tense_modern_dissonant,advanced,contemporary_classical_experimental,,,,,
Mixed Interval Harmony,chords_combining_different_intervals,complex_sonorous_structures,creates_unique_harmonic_colors,mixed_interval_voice_leading,context_dependent_resolution,Hindemith_Persichetti_modernists,20th_century_neoclassical,contemporary_classical_theory_composition,systematic_interval_combination,intellectually_complex_modern,very_advanced,theoretical_compositions_contemporary_classical,,,,,
Chord Streams,parallel_moving_chord_progressions,harmonic_flow_textures,creates_moving_harmonic_backgrounds,parallel_harmonic_motion,directional_flow_movement,film_composers_impressionists,impressionist_film,film_underscoring_textural_music,harmonic_motion_as_texture,flowing_cinematic_background,intermediate,film_underscoring_atmospheric_music,,,,,
Polychordal Structures,complex_chord_superimpositions,multi_layered_harmony,creates_harmonic_density_complexity,independent_layer_voice_leading,layered_resolution_patterns,Stravinsky_Messiaen_modernists,20th_century_modernist,contemporary_classical_complex_jazz,harmonic_layer_theory,complex_intellectual_dense,very_advanced,modernist_concert_music_complex_jazz,,,,,
Harmonic Rhythm Displacement,independent_harmonic_chord_rhythms,polyrhythmic_harmony,creates_rhythmic_harmonic_independence,independent_rhythmic_voice_leading,polyrhythmic_resolution,Carter_modernist_composers,mid_20th_century,contemporary_classical_complex_chamber,rhythmic_independence_theory,intellectually_complex_challenging,very_advanced,contemporary_chamber_music_analysis,,,,,
Whole Tone Harmony,whole_tone_scale_based_chords,floating_ambiguous_sound,eliminates_leading_tone_function,whole_tone_voice_leading,weak_resolution_suspended_harmony,Debussy_impressionist_composers,impressionist,impressionist_film_dreamy_music,symmetrical_scale_theory,dreamy_floating_impressionistic,intermediate,impressionist_pieces_dream_sequences,,,,,
Octatonic Harmony,alternating_whole_half_step_scale,symmetrical_harmonic_structures,creates_exotic_symmetrical_harmony,octatonic_voice_leading_patterns,symmetrical_resolution_cycles,Stravinsky_Bartok_Rimsky_Korsakov,late_romantic_modern,ballet_orchestral_contemporary,symmetrical_scale_construction,exotic_dramatic_symmetrical,advanced,ballets_orchestral_ethnic_music,,,,,
Hexatonic Harmony,augmented_triad_based_scales,augmented_symmetrical_harmony,creates_augmented_harmonic_language,augmented_triad_voice_leading,cyclic_augmented_resolution,Debussy_Liszt_late_romantics,late_romantic_impressionist,impressionist_late_romantic_film,augmented_symmetry_theory,mysterious_augmented_floating,advanced,late_romantic_impressionist_film,,,,,
Mirror Harmony,symmetrical_harmonic_structures,balanced_intervallic_relationships,creates_harmonic_symmetry,symmetrical_voice_leading,palindromic_resolution,Berg_Bartok_serialists,early_20th_century_serial,serial_contemporary_classical,symmetrical_construction_theory,intellectual_balanced_mathematical,very_advanced,serial_contemporary_classical_analysis,,,,,
Harmonic Synthesis,combination_multiple_techniques,complex_integrated_harmony,synthesizes_different_harmonic_approaches,integrated_voice_leading_systems,complex_resolution_behaviors,eclectic_20th_century_composers,late_20th_century_eclectic,contemporary_eclectic_postmodern,integration_of_harmonic_systems,complex_sophisticated_eclectic,master_level,postmodern_eclectic_contemporary,,,,,
