modulation_id,modulation_technique,intervallic_relationship,harmonic_mechanism,transition_smoothness,surprise_factor,emotional_effect,stylistic_period,difficulty_level,common_pivot_chords,voice_leading_pattern,typical_duration,dramatic_function,genre_suitability,pedagogical_value,harmonic_strategy_category
neapolitan_modulation_half_step_down,neapolitan_modulation,half_step_down,neapolitan_sixth_pivot,0.6,0.7,exotic_dark,romantic_period,advanced,neapolitan_sixth,chromatic_bass_motion,3_to_5_measures,mysterious_exotic,"romantic,opera,art_song",low,extended
augmented_sixth_modulation_chromatic_approach,augmented_sixth_modulation,chromatic_approach,augmented_sixth_resolution,0.5,0.8,tension_release,classical_romantic,advanced,german_italian_french_sixth,chromatic_resolution,2_to_4_measures,climactic_approach,"classical,romantic,jazz",medium,extended
circle_of_fifths_modulation_fifths_progression,circle_of_fifths_modulation,fifths_progression,sequential_fifth_movement,0.8,0.4,inevitable_progression,baroque_classical,intermediate,secondary_dominants,descending_fifths,6_to_12_measures,developmental_journey,"classical,jazz,progressive_rock",high,extended
mediant_modulation_third_relationship,mediant_modulation,third_relationship,sudden_third_leap,0.4,0.8,bright_or_dark_shift,romantic_modern,intermediate,none_direct_shift,third_leap_motion,immediate_to_2_measures,emotional_contrast,"romantic,pop,film_score",medium,extended
step_progression_modulation_whole_or_half_step,step_progression_modulation,whole_or_half_step,bass_line_drive,0.7,0.5,smooth_progression,all_periods,intermediate,varies,stepwise_bass,3_to_6_measures,gradual_transition,"classical,jazz,popular",high,extended
truck_drivers_modulation_whole_step_up,truck_drivers_modulation,whole_step_up,direct_key_lift,0.2,0.7,energy_boost,popular_country,beginner,none_direct,immediate_lift,immediate,energy_injection,"country,popular,gospel",low,extended
jazz_ii_v_modulation_cycle_of_fifths,jazz_ii_V_modulation,cycle_of_fifths,ii_V_I_chain,0.8,0.3,smooth_jazz_flow,jazz_era,intermediate,ii_V_progressions,jazz_voice_leading,2_to_4_measures,harmonic_sophistication,"jazz,fusion,latin",high,extended
blues_modulation_relative_major_minor,blues_modulation,relative_major_minor,twelve_bar_form_shift,0.9,0.2,natural_blues_flow,blues_era,beginner,blues_progressions,blues_voice_leading,12_bar_sections,structural_variation,"blues,rock,country",medium,extended
gospel_modulation_half_step_up,gospel_modulation,half_step_up,direct_lift_with_passing,0.6,0.6,spiritual_lift,gospel_tradition,intermediate,passing_chords,chromatic_passing_motion,1_to_2_measures,emotional_elevation,"gospel,soul,r&b",medium,extended
modal_modulation_mode_to_mode,modal_modulation,mode_to_mode,modal_center_shift,0.7,0.5,color_shift,folk_modern,intermediate,modal_chords,modal_voice_leading,varies,atmospheric_change,"folk,modal_jazz,world_music",medium,modal
parallel_major_minor_major_minor_third,parallel_major_minor,major_minor_third,mode_mixture_shift,0.8,0.4,light_to_dark,all_periods,beginner,shared_tonic_chords,third_alteration,immediate_to_4_measures,emotional_recoloring,"classical,popular,film",very_high,extended
diminished_seventh_modulation_any_destination,diminished_seventh_modulation,any_destination,diminished_seventh_pivot,0.3,0.9,mysterious_transport,romantic_modern,advanced,fully_diminished_seventh,enharmonic_flexibility,2_to_3_measures,magical_transition,"romantic,jazz,contemporary",medium,extended
chromatic_bass_modulation_chromatic_intervals,chromatic_bass_modulation,chromatic_intervals,bass_line_chromatic_motion,0.7,0.6,smooth_harmonic_shift,romantic_jazz,intermediate,varies,chromatic_bass_line,4_to_8_measures,sophisticated_progression,"romantic,jazz,art_music",high,extended
