cadence_type,emotional_archetype,resolution_feeling,closure_satisfaction,emotional_finality,listener_response,dramatic_impact,cultural_familiarity,psychological_completeness,physical_tension_release,narrative_power,memorability,surprise_level,cathartic_effect,harmonic_flexibility,genre_fit,expressive_freedom,anticipation_building,universal_recognition,stylistic_period,common_contexts
modal_cadence,the_ancient_wisdom,moderately_resolved,moderately_satisfying,somewhat_final,contemplative_response,mild_impact,culturally_distant,moderately_complete,some_release,timeless_conclusion,moderately_memorable,mildly_surprising,moderate_catharsis,flexible,limited_genre_fit,high_freedom,builds_little_expectation,rarely_recognized,medieval_modern,folk_world_music_film_scores
picardy_third,the_hope_triumphant,strongly_resolved,satisfying,very_final,uplifted_surprised,moderate_impact,moderately_familiar,feels_complete,strong_release,triumphant_ending,very_memorable,quite_surprising,good_catharsis,moderately_flexible,moderate_genre_fit,high_freedom,builds_strong_expectation,somewhat_recognized,baroque_classical,minor_key_endings_spiritual_music
elided_cadence,the_seamless_flow,barely_resolved,unsatisfying,not_final,neutral_response,moderate_impact,culturally_familiar,feels_incomplete,little_release,continues_narrative,not_very_memorable,not_very_surprising,limited_catharsis,very_flexible,fits_many_genres,high_freedom,builds_mild_expectation,widely_recognized,classical_romantic,sonata_form_continuous_development
interrupted_cadence,the_shattered_dream,not_resolved,very_unsatisfying,not_final,shocked_disturbed,extremely_dramatic,unexpected,feels_broken,no_release,narrative_disruption,extremely_memorable,extremely_surprising,no_catharsis,very_flexible,limited_genre_fit,very_high_freedom,builds_then_destroys_expectation,moderately_recognized,modern_dramatic,film_horror_avant_garde
circle_of_fifths,the_inevitable_journey,very_resolved,very_satisfying,quite_final,very_pleased,strong_impact,culturally_familiar,feels_complete,strong_release,conclusive_journey,memorable,mildly_surprising,strong_catharsis,moderately_flexible,fits_many_genres,moderate_freedom,builds_strong_expectation,widely_recognized,baroque_classical,classical_development_sequences
chromatic_voice_leading,the_sensual_seduction,strongly_resolved,satisfying,quite_final,captivated,dramatic_impact,somewhat_unfamiliar,feels_complete,strong_release,seductive_conclusion,very_memorable,quite_surprising,strong_catharsis,very_flexible,moderate_genre_fit,high_freedom,builds_strong_expectation,somewhat_recognized,romantic_jazz,romantic_opera_jazz_ballads
backdoor_progression,the_cool_detour,mostly_resolved,moderately_satisfying,quite_final,pleasantly_surprised,moderate_impact,culturally_distant,feels_complete,good_release,smooth_alternative_ending,memorable,moderately_surprising,good_catharsis,very_flexible,good_genre_fit,high_freedom,builds_mild_expectation,rarely_recognized,jazz_pop,jazz_sophisticated_pop
gospel_turnaround,the_joyful_celebration,moderately_resolved,very_satisfying,quite_final,uplifted_energized,moderate_impact,familiar_to_gospel_fans,feels_complete,good_release,celebratory_conclusion,memorable,moderately_surprising,good_catharsis,flexible,excellent_gospel_fit,high_freedom,builds_moderate_expectation,widely_recognized_in_community,gospel_tradition,gospel_r&b_soul_contemporary_christian
blues_turnaround,the_eternal_cycle,somewhat_resolved,moderately_satisfying,somewhat_final,satisfied_but_expectant,moderate_impact,very_familiar_to_blues_fans,moderately_complete,some_release,cyclical_continuation,moderately_memorable,mildly_surprising,moderate_catharsis,very_flexible,excellent_blues_fit,high_freedom,builds_little_expectation,universally_recognized_in_blues,blues_tradition,blues_rock_country_americana
sus_resolution,the_satisfying_release,strongly_resolved,very_satisfying,quite_final,very_pleased,moderate_impact,universally_expected,feels_complete,strong_release,satisfying_conclusion,memorable,not_surprising,strong_catharsis,moderately_flexible,excellent_fit_most_genres,high_freedom,builds_strong_expectation,widely_recognized,all_periods,pop_rock_folk_contemporary
add9_resolution,the_bittersweet_goodbye,mostly_resolved,satisfying,quite_final,moved_emotionally,moderate_impact,familiar_to_pop_fans,feels_complete,good_release,emotional_farewell,memorable,mildly_surprising,good_catharsis,flexible,excellent_pop_fit,high_freedom,builds_moderate_expectation,recognized_by_pop_listeners,modern_popular,pop_ballads_singer_songwriter
power_chord_resolution,the_raw_power,moderately_resolved,somewhat_satisfying,moderately_final,energized,very_dramatic,familiar_to_rock_fans,moderately_complete,good_release,powerful_conclusion,memorable,moderately_surprising,good_catharsis,limited_flexibility,excellent_rock_fit,high_freedom,builds_strong_expectation,recognized_by_rock_listeners,rock_era,rock_metal_punk_grunge
bossa_nova_cadence,the_sophisticated_whisper,moderately_resolved,satisfying,moderately_final,charmed,mild_impact,moderately_familiar,feels_complete,moderate_release,elegant_conclusion,moderately_memorable,mildly_surprising,moderate_catharsis,very_flexible,excellent_bossa_fit,high_freedom,builds_little_expectation,somewhat_recognized,brazilian_jazz,bossa_nova_latin_jazz_lounge
minimalist_resolution,the_gradual_enlightenment,somewhat_resolved,unsatisfying,moderately_final,contemplative_response,mild_impact,culturally_distant,feels_somewhat_complete,moderate_release,subtle_conclusion,not_very_memorable,not_surprising,limited_catharsis,moderately_flexible,limited_genre_fit,moderate_freedom,builds_little_expectation,rarely_recognized,contemporary_minimal,minimalist_ambient_new_age
quartal_resolution,the_modern_mystery,moderately_resolved,somewhat_satisfying,moderately_final,intrigued,moderate_impact,culturally_distant,moderately_complete,moderate_release,mysterious_conclusion,moderately_memorable,moderately_surprising,moderate_catharsis,very_flexible,moderate_genre_fit,high_freedom,builds_mild_expectation,rarely_recognized,20th_century_jazz,modern_classical_jazz_fusion
cluster_resolution,the_controlled_chaos,barely_resolved,unsatisfying,not_very_final,disturbed_intrigued,very_dramatic,unexpected,feels_incomplete,some_release,chaotic_conclusion,very_memorable,extremely_surprising,limited_catharsis,flexible,limited_genre_fit,very_high_freedom,builds_strong_expectation,rarely_recognized,20th_century_avant_garde,contemporary_classical_experimental
tierce_de_picardie_modern,the_surprise_redemption,strongly_resolved,satisfying,very_final,uplifted_amazed,strong_impact,culturally_distant,feels_complete,powerful_release,triumphant_transformation,very_memorable,very_surprising,strong_catharsis,moderately_flexible,moderate_genre_fit,high_freedom,builds_strong_expectation,rarely_recognized,modern_film,film_scores_contemporary_classical
