pattern_name,change_frequency,typical_duration,metric_relationship,emotional_effect,energy_level,tension_pattern,genre_suitability,stylistic_period,compositional_function,voice_leading_impact,complexity_level,tempo_dependency,cultural_associations,pedagogical_notes
bass_line_rhythm,independent_bass_pattern,polyrhythmic,metric_subdivision,walking_grounding,medium,rhythmic_independence,jazz_walking_bass,jazz_era,rhythmic_foundation,bass_melody_separate_rhythms,advanced,high,jazz_tradition,Listener engagement: groove_oriented
chord_per_syllable,text_driven_rhythm,speech_natural,speech_rhythm_based,word_painting,medium,text_dependent_tension,art_song_opera_musical_theatre,classical_theatre,text_expression,melody_serves_text,intermediate,low,theatrical_vocal,Listener engagement: word_focused_attention
stride_rhythm,alternating_bass_chord,percussive_bouncing,strong_metric_pulse,jaunty_rhythmic,high,alternating_tension_release,ragtime_stride_piano,early_jazz,pianistic_technique,left_right_hand_independence,advanced,high,american_popular,Listener engagement: physically_engaging
bossa_nova_rhythm,subtle_displacement,gently_syncopated,gentle_metric_displacement,sophisticated_relaxed,medium,gentle_rhythmic_tension,bossa_nova_latin_jazz,mid_20th_century,subtle_groove,melody_harmony_subtle_interplay,intermediate,medium,brazilian_sophisticated,Listener engagement: suave_intimate
reggae_rhythm,off_beat_emphasis,skank_pattern,syncopated_emphasis,laid_back_driving,medium,off_beat_tension,reggae_ska_caribbean,caribbean_modern,cultural_groove,harmony_supports_rhythm,intermediate,high,jamaican_caribbean,Listener engagement: danceable_relaxed
gospel_rhythm,call_response_pattern,rhythmic_dialogue,call_response_structure,spiritual_uplifting,high,communal_tension_release,gospel_soul_r&b,african_american_tradition,community_expression,harmony_rhythm_equal_importance,intermediate,medium,african_american_spiritual,Listener engagement: participatory_engaging
waltz_rhythm,3_beat_emphasis,strong_weak_weak,triple_meter_emphasis,graceful_flowing,medium,circular_tension,waltz_dance_classical,romantic_popular,dance_oriented,melody_leads_harmony_follows,simple,medium,european_social_dance,Listener engagement: physically_moving
tango_rhythm,dramatic_pauses,passionate_intensity,dramatic_metric_emphasis,seductive_dramatic,high,dramatic_tension_release,tango_dance_music,argentine_tradition,passionate_expression,harmony_rhythm_dramatic_unity,advanced,medium,argentine_passionate,Listener engagement: intensely_engaging
blues_rhythm,12_bar_pattern,cyclical_repetitive,12_bar_cycle,earthy_authentic,medium,cyclical_tension_release,blues_rock_country,american_vernacular,structural_foundation,melody_harmony_blues_interplay,simple,medium,african_american_vernacular,Listener engagement: emotionally_direct
minimalist_rhythm,gradual_phase_shifting,slowly_evolving,phase_relationships,hypnotic_meditative,low,slowly_building_tension,minimalist_ambient_new_age,late_20th_century,textural_evolution,rhythm_becomes_melody,advanced,low,contemporary_meditative,Listener engagement: contemplative_immersion
rondo_rhythm,recurring_theme_pattern,sectional_returns,sectional_organization,familiar_surprising,medium,return_and_contrast_tension,classical_rondo_form,classical_period,formal_structure,melody_harmony_structural_unity,intermediate,low,classical_formal,Listener engagement: intellectually_satisfying
polyrhythmic,multiple_simultaneous_patterns,layered_complex,complex_metric_relationships,culturally_rich,high,multi_layered_tension,world_music_jazz_fusion,traditional_modern,cultural_complexity,multiple_melodic_rhythmic_layers,very_advanced,variable,african_world_music,Listener engagement: challenging_rewarding
rubato_rhythm,flexible_tempo,expressively_free,metric_fluidity,emotionally_expressive,medium,expressive_tension,romantic_classical_jazz_ballad,romantic_expressive,emotional_freedom,melody_harmony_tempo_flexibility,advanced,variable,expressive_personal,Listener engagement: intimately_personal
